#gene,Dmel,Dsec,Dsim
128up,FBgn0010339,FBgn0176208,FBgn0182597
14-3-3epsilon,FBgn0020238,FBgn0170212,FBgn0186839
14-3-3zeta,FBgn0004907,FBgn0176067,FBgn0184006
140up,FBgn0010340,FBgn0180739,FBgn0191925
18w,FBgn0004364,FBgn0176867,FBgn0067532
26-29-p,FBgn0250848,FBgn0180299,FBgn0186151
312,FBgn0029514,FBgn0169330,FBgn0185324
4EHP,FBgn0053100,FBgn0178382,FBgn0189856
5-HT7,FBgn0004573,FBgn0167057,FBgn0188297
7B2,FBgn0041707,FBgn0165752,FBgn0191274
A16,FBgn0028965,FBgn0180777,FBgn0193504
ACC,FBgn0033246,FBgn0175616,FBgn0181977
AGO1,FBgn0262739,FBgn0178121,FBgn0084546
AIF,FBgn0031392,FBgn0178594,FBgn0194524
AP-1gamma,FBgn0030089,FBgn0168650,FBgn0188509
AP-1sigma,FBgn0039132,FBgn0181394,FBgn0192503
AP-2,FBgn0261953,FBgn0177258,FBgn0186649
AP-2sigma,FBgn0043012,FBgn0170008,FBgn0191478
AP-47,FBgn0024833,FBgn0181101,FBgn0192250
AP-50,FBgn0263351,FBgn0181288,FBgn0041673
APC4,FBgn0052707,FBgn0168644,FBgn0188507
APP-BP1,FBgn0261112,FBgn0180109,FBgn0185968
AQP,FBgn0033807,FBgn0175183,FBgn0197190
AR-2,FBgn0039595,FBgn0167225,FBgn0189566
ASPP,FBgn0034606,FBgn0170654,FBgn0196527
ATP7,FBgn0030343,FBgn0168045,FBgn0188624
ATPCL,FBgn0020236,FBgn0174984,FBgn0196863
ATPsyn-Cf6,FBgn0016119,FBgn0178437,FBgn0189915
ATPsyn-b,FBgn0019644,FBgn0180043,FBgn0185900
ATPsyn-d,FBgn0016120,FBgn0178194,FBgn0084335
ATPsyn-gamma,FBgn0020235,FBgn0167161,FBgn0189222
Aac11,FBgn0027885,FBgn0172036,FBgn0193285
Aats-ala,FBgn0027094,FBgn0167925,FBgn0193816
Aats-ala-m,FBgn0028962,FBgn0169619,FBgn0185576
Aats-arg,FBgn0027093,FBgn0177391,FBgn0196004
Aats-asp,FBgn0002069,FBgn0176310,FBgn0182688
Aats-cys,FBgn0027091,FBgn0176546,FBgn0182921
Aats-gln,FBgn0027090,FBgn0172644,FBgn0189753
Aats-glupro,FBgn0005674,FBgn0178389,FBgn0041672
Aats-gly,FBgn0027088,FBgn0180359,FBgn0186203
Aats-his,FBgn0027087,FBgn0177771,FBgn0188955
Aats-ile,FBgn0027086,FBgn0177310,FBgn0186697
Aats-leu,FBgn0027085,FBgn0169602,FBgn0185560
Aats-lys,FBgn0027084,FBgn0166298,FBgn0187693
Aats-met,FBgn0027083,FBgn0180721,FBgn0191908
Aats-phe,FBgn0020766,FBgn0176381,FBgn0182756
Aats-pro,FBgn0027082,FBgn0169041,FBgn0185094
Aats-ser,FBgn0021750,FBgn0179087,FBgn0190522
Aats-thr,FBgn0027081,FBgn0181585,FBgn0195188
Aats-trp,FBgn0010803,FBgn0181129,FBgn0192272
Aats-tyr,FBgn0027080,FBgn0179263,FBgn0184198
Abd-B,FBgn0000015,FBgn0025061,FBgn0025043
Abi,FBgn0020510,FBgn0180740,FBgn0191926
Abl,FBgn0000017,FBgn0179243,FBgn0184183
Ac3,FBgn0023416,FBgn0171056,FBgn0195675
Ac78C,FBgn0024150,FBgn0177036,FBgn0183879
AcCoAS,FBgn0012034,FBgn0177025,FBgn0183867
Acam,FBgn0011273,FBgn0165216,FBgn0192685
Ace,FBgn0000024,FBgn0180812,FBgn0022516
Acer,FBgn0016122,FBgn0171967,FBgn0194932
Acf1,FBgn0027620,FBgn0171368,FBgn0193029
Ack,FBgn0028484,FBgn0169546,FBgn0185513
Acon,FBgn0010100,FBgn0178264,FBgn0195654
Acp1,FBgn0014454,FBgn0168315,FBgn0193875
Acp24A4,FBgn0051779,FBgn0173036,FBgn0083474
Acp26Aa,FBgn0002855,FBgn0260790,FBgn0012820
Acp26Ab,FBgn0002856,FBgn0260791,FBgn0012821
Acp29AB,FBgn0015583,FBgn0064379,FBgn0027418
Acp32CD,FBgn0023415,FBgn0173712,FBgn0043403
Acp36DE,FBgn0011559,FBgn0064378,FBgn0041931
Acp53C14a,FBgn0034152,FBgn0174920,FBgn0069522
Acp53C14b,FBgn0034153,FBgn0174919,FBgn0069521
